"day","machine","plate","Well.ID","mean_OD","min_OD","init_OD"
1,1,1,110,0.181285714285714,0.178,0.183
1,1,2,260,0.194071428571429,0.188,0.19175
1,1,2,273,0.205928571428571,0.189,0.1975
1,1,2,293,0.214797619047619,0.199,0.212
1,2,2,203,0.190369047619048,0.189,0.19175
1,2,2,286,0.187678571428571,0.187,0.188625
2,1,1,160,0.181875,0.179,0.18275
2,1,1,185,0.189864583333333,0.187,0.18925
2,1,2,205,0.182729166666667,0.181,0.183625
2,1,2,258,0.183125,0.182,0.183
2,2,1,132,0.193604166666667,0.193,0.194125
2,2,2,296,0.188583333333333,0.186,0.19
3,1,1,129,0.183322916666667,0.181,0.182875
3,1,1,156,0.18290625,0.181,0.1835
3,1,1,175,0.184833333333333,0.183,0.184125
3,1,2,256,0.18375,0.183,0.184
3,2,1,129,0.1865625,0.186,0.18725
3,2,1,145,0.189208333333333,0.188,0.189875
4,1,1,166,0.185368421052632,0.183,0.184875
4,1,1,172,0.190736842105263,0.186,0.189125
4,1,2,259,0.188178947368421,0.183,0.184
4,1,2,287,0.187421052631579,0.186,0.187
4,2,2,249,0.190252631578947,0.188,0.18975
4,2,2,251,0.191915789473684,0.191,0.192375
5,1,1,101,0.19228125,0.189,0.192
5,1,1,113,0.182239583333333,0.181,0.18275
5,1,1,180,0.186583333333333,0.183,0.1865
5,1,1,189,0.183447916666667,0.181,0.182375
5,2,1,144,0.192885416666667,0.192,0.19275
5,2,2,206,0.189083333333333,0.187,0.191375
6,1,1,115,0.206852631578947,0.205,0.208375
6,1,1,123,0.209957894736842,0.208,0.21025
6,1,1,165,0.209368421052632,0.208,0.210875
6,1,2,282,0.220968421052632,0.218,0.2205
6,1,2,292,0.230684210526316,0.225,0.23
6,1,2,300,0.210021052631579,0.207,0.210125
7,1,1,167,0.205166666666667,0.156,0.20675
7,1,2,264,0.2140625,0.159,0.208375
7,1,2,277,0.205583333333333,0.159,0.206875
7,1,2,284,0.209385416666667,0.163,0.2095
7,2,1,128,0.215572916666667,0.205,0.2195
7,2,1,171,0.22,0.202,0.22475
8,1,1,110,0.216479166666667,-0.178,0.200625
8,1,2,247,0.209104166666667,-0.212,0.197375
8,1,2,294,0.238635416666667,-0.188,0.222875
8,2,1,130,0.214747368421053,0.213,0.217125
8,2,2,289,0.212968421052632,0.211,0.215375
8,2,2,296,0.214031578947368,0.212,0.21575
9,1,1,174,0.221210526315789,0.186,0.204375
9,1,2,279,0.212536842105263,0.181,0.202
9,2,1,114,0.214189473684211,0.212,0.216375
9,2,1,127,0.212989473684211,0.211,0.215875
9,2,2,281,0.213305263157895,0.21,0.215625
10,1,1,136,0.21753125,0.188,0.205
10,1,2,215,0.209677083333333,0.187,0.211875
10,1,2,294,0.211895833333333,0.195,0.21175
10,2,1,128,0.214145833333333,0.213,0.2165
10,2,2,247,0.21259375,0.211,0.215
10,2,2,256,0.214760416666667,0.213,0.216875
11,1,1,103,0.27586170212766,0.192,0.210375
11,1,1,171,0.235117021276596,0.203,0.214875
11,1,2,246,0.225978723404255,0.162,0.201
11,2,2,210,0.211606382978723,0.208,0.21525
11,2,2,218,0.212797872340426,0.211,0.21475
11,2,2,239,0.211606382978723,0.21,0.21375
12,1,1,151,0.600822916666667,0,0.22
12,1,1,173,0.598135416666667,-0.251,0.213125
12,1,2,213,0.58021875,-0.247,0.20775
12,1,2,241,0.587635416666667,-0.225,0.214
12,2,2,213,0.21425,0.212,0.2165
12,2,2,230,0.21103125,0.209,0.213375
